apk,lang,source,version,extension_class_refs,i18n_files,detected_multisrc
tachiyomi-tr.domalfansub-v1.4.49.apk,tr,domalfansub,1.4.49,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.eldermanga-v1.4.5.apk,tr,eldermanga,1.4.5,4,,
tachiyomi-tr.gafeland-v1.4.30.apk,tr,gafeland,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.gaiatoon-v1.4.30.apk,tr,gaiatoon,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.garciamanga-v1.4.45.apk,tr,garciamanga,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.ghosthentai-v1.4.45.apk,tr,ghosthentai,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.golgebahcesi-v1.4.30.apk,tr,golgebahcesi,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.hattorimanga-v1.4.42.apk,tr,hattorimanga,1.4.42,37,,
tachiyomi-tr.hayalistic-v1.4.48.apk,tr,hayalistic,1.4.48,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.holyscans-v1.4.45.apk,tr,holyscans,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.kabusmanga-v1.4.45.apk,tr,kabusmanga,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.koreliscans-v1.4.48.apk,tr,koreliscans,1.4.48,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.kuroimanga-v1.4.48.apk,tr,kuroimanga,1.4.48,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.laviniafansub-v1.4.47.apk,tr,laviniafansub,1.4.47,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.lilyumfansub-v1.4.45.apk,tr,lilyumfansub,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.lunascans-v1.4.47.apk,tr,lunascans,1.4.47,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.mangadenizi-v1.4.6.apk,tr,mangadenizi,1.4.6,14,,
tachiyomi-tr.mangagezgini-v1.4.53.apk,tr,mangagezgini,1.4.53,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.mangakings-v1.4.31.apk,tr,mangakings,1.4.31,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.mangakusu-v1.4.30.apk,tr,mangakusu,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.mangaokutr-v1.4.30.apk,tr,mangaokutr,1.4.30,5,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.mangasehri-v1.4.46.apk,tr,mangasehri,1.4.46,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.mangasehrinet-v1.4.46.apk,tr,mangasehrinet,1.4.46,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.mangaship-v1.4.3.apk,tr,mangaship,1.4.3,6,,
tachiyomi-tr.mangatilkisi-v1.4.47.apk,tr,mangatilkisi,1.4.47,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.mangatr-v1.4.16.apk,tr,mangatr,1.4.16,21,,
